MetaMessage('track_name', name='Piano right', time=0)
note_on channel=0 note=76 velocity=0 time=120
note_on channel=0 note=77 velocity=56 time=0
note_on channel=0 note=77 velocity=0 time=240
note_on channel=0 note=84 velocity=58 time=0
note_on channel=0 note=84 velocity=0 time=240
note_on channel=0 note=82 velocity=59 time=0
note_on channel=0 note=82 velocity=0 time=120
note_on channel=0 note=80 velocity=54 time=0
note_on channel=0 note=80 velocity=0 time=120
note_on channel=0 note=79 velocity=58 time=0
note_on channel=0 note=79 velocity=0 time=120
note_on channel=0 note=77 velocity=58 time=0
note_on channel=0 note=77 velocity=0 time=120
note_on channel=0 note=84 velocity=58 time=0
note_on channel=0 note=84 velocity=0 time=240
note_on channel=0 note=72 velocity=56 time=0
note_on channel=0 note=72 velocity=0 time=240
note_on channel=0 note=72 velocity=56 time=0
note_on channel=0 note=72 velocity=0 time=240
note_on channel=0 note=68 velocity=37 time=0
note_on channel=0 note=72 velocity=44 time=0
note_on channel=0 note=72 velocity=0 time=120
note_on channel=0 note=68 velocity=0 time=0
note_on channel=0 note=75 velocity=39 time=0
note_on channel=0 note=75 velocity=0 time=120
note_on channel=0 note=68 velocity=38 time=0
note_on channel=0 note=72 velocity=45 time=0
note_on channel=0 note=72 velocity=0 time=120
note_on channel=0 note=68 velocity=0 time=0
note_on channel=0 note=75 velocity=38 time=0
note_on channel=0 note=75 velocity=0 time=120
note_on channel=0 note=68 velocity=38 time=0
note_on channel=0 note=72 velocity=45 time=0
note_on channel=0 note=72 velocity=0 time=120
note_on channel=0 note=68 velocity=0 time=0
note_on channel=0 note=75 velocity=39 time=0
note_on channel=0 note=75 velocity=0 time=120
note_on channel=0 note=68 velocity=37 time=0
note_on channel=0 note=77 velocity=44 time=0
note_on channel=0 note=77 velocity=0 time=120
note_on channel=0 note=68 velocity=0 time=0
note_on channel=0 note=80 velocity=39 time=0
note_on channel=0 note=80 velocity=0 time=120
note_on channel=0 note=68 velocity=39 time=0
note_on channel=0 note=77 velocity=47 time=0
note_on channel=0 note=77 velocity=0 time=120
